time (s)	coil I (A)	last det (V)	int current (uC)
4686.013388	1.022915	0.285175	455.197235
4686.014364	0.541853	0.285175	984.045776
4686.015274	0.100375	0.285175	1075.386841
4686.016169	0.097720	0.285175	1162.845947
4686.017103	0.097771	0.285175	1254.164062
4686.018015	0.097727	0.285175	1343.291138
4686.018916	0.097738	0.285175	1431.353149
4686.019804	0.097786	0.285175	1518.186768
4686.020750	0.097815	0.285175	1610.719727
4686.021660	0.097782	0.285175	1699.701294
4686.022550	0.097738	0.285175	1786.688110
4686.023484	0.097782	0.285175	1878.016479
4687.078354	1.008977	0.316386	447.985809
4687.079250	0.660066	0.316386	1039.404907
4687.080197	0.101393	0.316386	1135.423950
4687.081109	0.097665	0.316386	1224.494263
4687.082014	0.097745	0.316386	1312.953857
4687.082904	0.097676	0.316386	1399.885254
4687.083849	0.097709	0.316386	1492.219971
4687.084754	0.097731	0.316386	1580.666260
4687.085647	0.097701	0.316386	1667.913574
4687.086575	0.097745	0.316386	1758.621216
4687.087480	0.097760	0.316386	1847.093994
4687.088375	0.097643	0.316386	1934.484375
4688.084436	1.017242	0.288921	452.672882
4688.085335	0.651636	0.288921	1038.493408
4688.086247	0.102733	0.288921	1132.186035
4688.087186	0.097643	0.288921	1223.872681
4688.088092	0.097687	0.288921	1312.376953
4688.088991	0.097749	0.288921	1400.253296
4688.089929	0.097760	0.288921	1491.952148
4688.090824	0.097881	0.288921	1579.555542
4688.091721	0.097782	0.288921	1667.265991
4688.092606	0.097709	0.288921	1753.738281
4688.093540	0.097833	0.288921	1845.114502
4688.094450	0.097738	0.288921	1934.056152
4689.151444	1.023651	0.325269	459.619354
4689.152340	0.645718	0.325269	1038.182495
4689.153295	0.101334	0.325269	1134.956665
4689.154192	0.097687	0.325269	1222.581665
4689.155096	0.097712	0.325269	1310.913696
4689.155985	0.097760	0.325269	1397.822388
4689.156937	0.097844	0.325269	1490.970093
4689.157845	0.097687	0.325269	1579.669678
4689.158741	0.097720	0.325269	1667.226562
4689.159674	0.097797	0.325269	1758.470825
4689.160574	0.097767	0.325269	1846.461426
4689.161471	0.097687	0.325269	1934.086426
4690.152393	1.002407	0.335658	436.047119
4690.153337	0.630758	0.335658	1031.482788
4690.154264	0.101001	0.335658	1125.110718
4690.155159	0.097782	0.335658	1212.625610
4690.156073	0.097738	0.335658	1301.958130
4690.156990	0.097841	0.335658	1391.677979
4690.157900	0.097716	0.335658	1480.599609
4690.158795	0.097866	0.335658	1568.189819
4690.159747	0.097848	0.335658	1661.341064
4690.160649	0.097778	0.335658	1749.537109
4690.161549	0.097782	0.335658	1837.540894
4690.162433	0.097745	0.335658	1923.947754
4691.224018	1.015986	0.277384	449.065948
4691.224929	0.642158	0.277384	1034.072021
4691.225816	0.102770	0.277384	1125.228760
4691.226781	0.097731	0.277384	1219.538940
4691.227692	0.097841	0.277384	1308.671753
4691.228598	0.097826	0.277384	1397.302002
4691.229531	0.097852	0.277384	1488.597534
4691.230429	0.097896	0.277384	1576.507690
4691.231326	0.097819	0.277384	1664.250977
4691.232212	0.097734	0.277384	1750.843628
4691.233149	0.097837	0.277384	1842.516846
4691.234052	0.097811	0.277384	1930.840454
4692.226045	1.037388	0.280256	506.245209
4692.226966	0.558171	0.280256	1020.321045
4692.227867	0.100818	0.280256	1111.157959
4692.228757	0.097694	0.280256	1198.105713
4692.229704	0.097841	0.280256	1290.760742
4692.230607	0.097745	0.280256	1379.024780
4692.231506	0.097676	0.280256	1466.835327
4692.232392	0.097760	0.280256	1553.450684
