time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
2518.097665	4.343614	1.934718	2.245089	227
2518.097665	4.343614	1.934718	2.245089	228
2519.102113	4.613211	1.872084	2.464211	229
2520.181552	4.314919	1.939714	2.224513	230
2521.168944	4.717165	1.894914	2.489382	231
2522.249462	4.261952	1.924469	2.214612	232
2523.235971	4.750471	1.905266	2.493337	233
2524.321488	4.129836	1.861614	2.218417	234
2525.306542	4.829188	1.932790	2.498558	235
2526.392951	4.292866	1.925594	2.229372	236
2527.378127	4.793887	1.914305	2.504244	237
2528.462978	4.242216	1.935657	2.191615	238
2529.450295	4.728855	1.921232	2.461366	239
2530.533604	4.202236	1.917211	2.191849	240
2531.520765	4.714601	1.899845	2.481572	241
2532.604865	4.268298	1.925685	2.216509	242
2533.591783	4.870976	1.932156	2.521005	243
2534.676396	4.285528	1.925419	2.225763	244
2535.662140	4.824901	1.934687	2.493892	245
2536.748225	4.234998	1.910845	2.216296	246
2537.732548	4.801924	1.917860	2.503792	247
2538.818816	4.269681	1.935243	2.206276	248
2539.806108	4.795312	1.932088	2.481933	249
2540.887138	4.118848	1.867863	2.205113	250
2541.880111	4.713076	1.920564	2.454006	251
2542.954227	4.322780	1.913417	2.259194	252
2543.956320	4.569876	1.866214	2.448742	253
2545.021645	4.328337	1.925555	2.247838	254
2546.029325	4.656724	1.922491	2.422235	255
2547.092150	4.245877	1.870513	2.269900	0
2548.097752	4.791190	1.937389	2.473014	1
2549.168261	4.320329	1.922739	2.246966	2
2550.171674	4.770075	1.932929	2.467797	3
2551.244415	4.261153	1.928728	2.209308	4
2552.231135	4.852904	1.927253	2.518042	5
2553.317035	4.262983	1.925205	2.214301	6
2554.302315	4.819723	1.905106	2.529898	7
2555.385782	4.304411	1.930587	2.229587	8
2556.376884	4.743718	1.935360	2.451078	9
2557.452598	4.396906	1.919281	2.290913	10
2558.452173	4.760770	1.923003	2.475696	11
2559.519810	4.421104	1.935275	2.284484	12
2560.525814	4.680994	1.934153	2.420177	13
2561.597217	4.479728	1.934439	2.315776	14
2562.597606	4.620897	1.875534	2.463777	15
2563.661030	4.259797	1.878969	2.267093	16
2564.667996	4.629350	1.874633	2.469470	17
2565.732331	4.377327	1.927475	2.271017	18
2566.738810	4.732159	1.929734	2.452235	19
2567.803855	4.283834	1.874736	2.285034	20
2568.809228	4.777313	1.930692	2.474405	21
2569.875089	4.416234	1.934479	2.282906	22
2570.880687	4.704440	1.921974	2.447713	23
2571.945883	4.383232	1.928828	2.272485	24
2572.952264	4.647118	1.926907	2.411698	25
2574.016374	4.268340	1.866002	2.287426	26
2575.024237	4.716869	1.912380	2.466492	27
2576.086997	4.377010	1.918892	2.281010	28
2577.095333	4.735300	1.922806	2.462703	29
2578.158691	4.371355	1.914181	2.283669	30
2579.163940	4.757158	1.929535	2.465442	31
2580.233121	4.328873	1.914396	2.261221	32
2581.232342	4.679982	1.893430	2.471695	33
2582.315267	4.287905	1.932079	2.219322	34
2583.299060	4.703383	1.881071	2.500376	35
2584.382590	4.226870	1.894124	2.231570	36
2585.367739	4.855641	1.933036	2.511925	37
2586.453899	4.261222	1.938838	2.197823	38
2587.447637	4.721468	1.902954	2.481126	39
2588.522294	4.222738	1.914230	2.205972	40
2589.514487	4.766771	1.903477	2.504245	41
2590.588554	4.300011	1.901415	2.261479	42
2591.590426	4.667787	1.924820	2.425052	43
2592.656555	4.394502	1.932187	2.274367	44
2593.664079	4.682733	1.927982	2.428827	45
2594.726945	4.414249	1.936047	2.280033	46
2595.734405	4.776341	1.931443	2.472940	47
2596.798366	4.376507	1.920618	2.278698	48
2597.804001	4.670384	1.897749	2.461013	49
2598.871640	4.366476	1.920487	2.273630	50
2599.873231	4.730236	1.922040	2.461050	51
2600.945084	4.235306	1.912575	2.214452	52
2601.942281	4.736306	1.930675	2.453187	53
2603.017759	4.265778	1.917595	2.224546	54
2604.011968	4.760822	1.929590	2.467271	55
2605.089263	4.334208	1.930201	2.245470	56
2606.082479	4.711763	1.917507	2.457233	57
2607.160640	4.265452	1.918339	2.223513	58
2608.153425	4.671089	1.886854	2.475597	59
2609.231579	4.286515	1.935931	2.214188	60
